flat_type,price,address,buildup_area,avg_price_sqft,age_of_property,possesion_status,which_floor,facing,furnicing,project_name,brokrage,carpet_area,bedrooms,bathrooms,balcony,parking,about_property
1 BHK Flat,32.0 L,"Sunteck West World, Naigaon East, Mumbai",610 sq.ft,₹5.25 K/sq.ft,1 Years Old,Ready to move,Higherof 22 floors,Unfurnished,,Sunteck West World,"64,000(Negotiable)Access Zero Brokerage Properties",1,1,2,More than a month ago,1 Open Parking,"1 BHK Flat for sale in Naigaon East, Mumbai with modern-day amenities. The Flat is in Naigaon East which is a promising investment destination in Mumbai. This might be your chance to grab the best 1 BHK property for sale in Naigaon East. The propertyRead More"
2 BHK Flat,1.52 Cr,"Kanakia Zenworld Phase II, Kanjurmarg East, Mumbai",750 sq.ft,₹20.27 K/sq.ft,1 Years Old,Ready to move,Middleof 35 floors,Semi Furnished,,Kanakia Zenworld Phase II,1.5 Lacs(Negotiable)Access Zero Brokerage Properties,555 sq.ft,2,2,No Balcony,1 Covered Parking,"2 BHK apartments is in the range of 555 to 732 sq ft. Amenities available for the convenience of residents are closed car parking areas, open parking areas, open area for recreational activities, community buildings, landscaped gardens, electrical mRead More"
1 BHK Flat,40.0 L,"DEEP SKY, Golani Naka, Vasai East, Mumbai",685 sq.ft,₹5.84 K/sq.ft,1 Years Old,Ready to move,Lowerof 23 floors,Unfurnished,,DEEP SKY,No ChargeAccess Zero Brokerage Properties,380 sq.ft,1,2,1,1 Covered Parking,"Property for sale in Vasai East, Mumbai. This 1 BHK Flat is located in Mumbai's most promising location. It is on floor 0. The total number of floors in this building is 23. This Flat's price is Rs 40.0 L. Homebuyers will also need to pay Rs 2000 towRead More"
1 BHK Flat,1.02 Cr,"Godrej Nest, Lokhandwala Township, Kandivali East, Mumbai",650 sq.ft,₹15.69 K/sq.ft,1 BHK,"1st Dec, 2024",Higherof 23 floors,Unfurnished,,Godrej Nest,1.0 LacAccess Zero Brokerage Properties,428 sq.ft,1,2,No Balcony,1 Covered Parking,1bhk available in Godrej Nest This property is 650 squarefeet. It is spacious for a family and this property has a carpet area of 428 squarefeet. This property is East facing. There are 1 bedroom and 2 bathroom. The Flat has lift facility. It is a thRead More
1 BHK Flat,95.0 L,"Vaibhavlaxmi Stella Residency, Kannamwar Nagar II, Vikhroli East, Mumbai",388 sq.ft,₹24.48 K/sq.ft,2 Year Old,Ready to move,Middleof 22 floors,Unfurnished,,Vaibhavlaxmi Stella Residency,"95,000Access Zero Brokerage Properties",350 sq.ft,1,2,No Balcony,1 Covered Parking,"1 BHK Flat for sale in Vikhroli East, Mumbai - contact now, for details about the most coveted property. This 1 BHK unit is available in Vikhroli East and offers a premium lifestyle at the best price. It is a desired purchase for any homebuyer in VikRead More"
1 BHK Flat,1.2 Cr,"Lily at Runwal Forest, Kanjurmarg West, Mumbai",489 sq.ft,₹24.54 K/sq.ft,1 Years Old,Ready to move,Middleof 36 floors,Semi Furnished,,Lily at Runwal Forest,1.2 LacsAccess Zero Brokerage Properties,471 sq.ft,1,2,No Balcony,1 Covered Parking,"From one of the leading project of Runwal Group, Runwal forests will take your breath away from their magnificent view of their massive estate. Its alluring 16 acres residential township in Mumbai offers flawless 1.5 bhk residences on LBS road can beRead More"
3 BHK Flat,2.81 Cr,"Shraddha Elite, Ashok Nagar, Borivali West, Mumbai",968 sq.ft,₹29 K/sq.ft,3 BHK,"9th Apr, 2024",Lowerof 29 floors,Unfurnished,,Shraddha Elite,No ChargeAccess Zero Brokerage Properties,968 sq.ft,3,3,No Balcony,1 Covered Parking,"Quoted Rate is Only Agreement Value, Government Taxes & Other Charges Extra.
MahaRERA Registered Project
Maximum Home Loan Possible from All Banks.

Features:
Structure :-
📌 G + 32 
📌G + 2 Podium Parking (Reserved for Surface parking + Ramp)
 📌AmeRead More"
4 BHK Flat,8.74 Cr,"L And T Elixir Reserve, Chandivali, Powai, Mumbai",2500 sq.ft,₹34.96 K/sq.ft,1 Years Old,Ready to move,Middleof 22 floors,Semi Furnished,,L And T Elixir Reserve,8.7 LacsAccess Zero Brokerage Properties,2000 sq.ft,4,3,2,2 Covered Parking,"Looking for a good 4 BHK Flat in Powai, Mumbai? This property is in one of Mumbai's most popular locations. The property is on floor 10. Total number of floors is 22. Maintenance charges of this property is Rs 25000. This Flat is available for Rs 8.7Read More"
2 BHK Flat,1.04 Cr,"Raj Heritage 2, Shivar Garden, Mira Road East, Mumbai",825 sq.ft,₹12.61 K/sq.ft,Ready to move,East facing,East facingFacing,,,Raj Heritage 2,No ChargeAccess Zero Brokerage Properties,426 sq.ft,2,2,3,2 Open Parking,"A 2 BHK Flat for sale in Mira Bhayandar, Mumbai. This beautifully designed 2 BHK unit with all the modern-day comforts is one of Mira Bhayandar's most desired properties. Contact now for more information. This 2 BHK unit is on floor 5. There are 22 fRead More"
3 BHK Flat,2.6 Cr,"Teenmurty Summit, Food Corporation Of India Warehouse, Borivali East, Mumbai",1088 sq.ft,₹23.90 K/sq.ft,5 Year Old,Ready to move,Higherof 22 floors,Unfurnished,,Teenmurty Summit,2.6 LacsAccess Zero Brokerage Properties,871 sq.ft,3,3,No Balcony,1 Covered Parking,"Teenmurty Summit is an ready to move in OC received project at Borivali East in Mumbai, being developed by B.G Shirke Group of Companies. Keeping in mind the needs of modern lifestyle of residents, the project provides various amenities. Teenmurty SuRead More"
2 BHK Flat,2.1 Cr,"Codename Above and Beyond, Yashodham, Goregaon East, Mumbai",860 sq.ft,₹24.42 K/sq.ft,1 Years Old,Ready to move,Lowerof 38 floors,Unfurnished,,Codename Above and Beyond,2.1 LacsAccess Zero Brokerage Properties,760 sq.ft,2,2,No Balcony,1 Open Parking,"Value Deal
	Close to Station
	Airport
	Temples
	Schools
 More About This Property Best 2 BHK Flat for modern-day lifestyle is now available for sale. Grab this 2 BHK property for sale in one of Mumbai's top location, Goregaon East. It is situated onRead More"
2 BHK Flat,1.7 Cr,"Wadhwa Atmosphere Phase 1, Hira Nagar, Mulund West, Mumbai",800 sq.ft,₹21.25 K/sq.ft,5 Year Old,Ready to move,Lowerof 39 floors,Semi Furnished,,Wadhwa Atmosphere Phase 1,1.7 LacsAccess Zero Brokerage Properties,650 sq.ft,2,2,1,1 Covered Parking,One of the finest property in Mulund West is now available for sale. This is a 2 BHK Flat. Make it yours now. It is on floor 2. It is a 39 storeyed building. The price of this Flat is Rs 1.7 Cr. Other charges when you move into this property include Read More
1 BHK Flat,70.0 L,"JP North Barcelona, Chandan Shanti, Mira Road East, Mumbai",670 sq.ft,₹10.45 K/sq.ft,1 Years Old,Ready to move,Higherof 25 floors,Unfurnished,,JP North Barcelona,1.0 LacAccess Zero Brokerage Properties,455 sq.ft,1,2,2,1 Open Parking,"JP north is one of the most popular destination for buying apartments/ flats in Mira road east, Mira Bhayandar. You too can be a part of this society by purchasing this 1 bhk flat here. This property faces the north-East direction. Constructed on a sRead More"
1 BHK Flat,30.0 L,"Ekta Parksville Phase I, Global City, Virar West, Mumbai",650 sq.ft,₹4.62 K/sq.ft,3 Year Old,Ready to move,Lowerof 15 floors,,,Ekta Parksville Phase I,No ChargeAccess Zero Brokerage Properties,1,1,2,More than a month ago,No Parking,"1 BHK Flat for sale in Virar West, Mumbai - contact now, for details about the most coveted property. This 1 BHK unit is available in Virar West and offers a premium lifestyle at the best price. It is a desired purchase for any homebuyer in Virar WesRead More"
3 BHK Flat,4.3 Cr,"Oberoi Sky City Tower E, Magathane, Borivali East, Mumbai",1520 sq.ft,₹28.29 K/sq.ft,1 Years Old,Ready to move,Lowerof 61 floors,Unfurnished,,Oberoi Sky City Tower E,4.3 LacsAccess Zero Brokerage Properties,1074 sq.ft,3,3,No Balcony,2 Covered Parking,"Available 3 BHK Flat for sale in Oberoi Sky City , Borivali East . More About This Property Looking for a good 3 BHK Flat in Borivali East, Mumbai? This property is in one of Mumbai's most popular locations. The property is on floor 17. Total number Read More"
1.5 BHK Flat,1.37 Cr,"Amardeep Anutham, Nav Indraprastha CHS, Mulund East, Mumbai",850 sq.ft,₹16.12 K/sq.ft,1 Years Old,Ready to move,Lowerof 23 floors,Unfurnished,,Amardeep Anutham,1.4 LacsAccess Zero Brokerage Properties,500 sq.ft,2,2,No Balcony,1 Covered and 1 Open Parking,"A 1.5 BHK Flat for sale in Mulund East, Mumbai. This beautifully designed 1.5 BHK unit with all the modern-day comforts is one of Mulund East's most desired properties. Contact now for more information. This 1.5 BHK unit is on floor 7. There are 23 fRead More"
2 BHK Flat,25.5 L,"Nakshatra Residency, Saphale, Mumbai",790 sq.ft,₹3.23 K/sq.ft,1 Years Old,Ready to move,Higherof 4 floors,,,Nakshatra Residency,"49,999Access Zero Brokerage Properties",529 sq.ft,2,1,2,1 Open Parking,"Looking for a 2 BHK Flat for sale in Mumbai? Your search ends here. Buy this 2 BHK property in Mumbai's finest location, Saphale. It is on floor 3 out of 4 floors. This Flat is available at a reasonable price of Rs 25.5 L. The built up area of this pRead More"
3 BHK Flat,4.1 Cr,"Hiranandani gardens powai, Hiranandani Gardens, Powai, Mumbai",1350 sq.ft,₹30.37 K/sq.ft,8 Year Old,Ready to move,Middleof 18 floors,,,4.1 LacsAccess Zero Brokerage Properties,4.1 Cr,3,No Balcony,More than a month ago,,1 Covered Parking,"3 BHK Flat for sale in Powai, Mumbai with modern-day amenities. The Flat is in Powai which is a promising investment destination in Mumbai. This might be your chance to grab the best 3 BHK property for sale in Powai. The property is on floor 7 and thRead More"
3 BHK Flat,3.6 Cr,"Kukreja Daffodil, Eden Gardens, Anushakti Nagar, Mumbai",1100 sq.ft,₹32.73 K/sq.ft,15 Year Old,Ready to move,Lowerof 8 floors,Fully Furnished,,Kukreja Daffodil,3.5 LacsAccess Zero Brokerage Properties,1100 sq.ft,3,3,No Balcony,1 Covered Parking,SPACIOUS 3BHK 1100 CARPET AREA FURNISHED FLAT IN DEONAR FARM ROAD More About This Property One of the finest property in Anushakti Nagar is now available for sale. This is a 3 BHK Flat. Make it yours now. It is on floor 2. It is a 8 storeyed buildingRead More
3 BHK Flat,2.6 Cr,"I C Colony, Borivali West, Mumbai",1200 sq.ft,₹21.67 K/sq.ft,1 Years Old,Ready to move,Middleof 20 floors,Unfurnished,,2.5 LacsAccess Zero Brokerage Properties,2.6 Cr,3,3,No Balcony,More than a month ago,1 Covered Parking,"Check out this 3 BHK Flat for sale in Borivali West, Mumbai. This 3 BHK Flat is perfect for a modern-day lifestyle. Borivali West is a promising location in Mumbai and this is one of the finest properties in the area. Buy this Flat for sale now. It iRead More"
1 RK Flat,21.5 L,"Samel Pada, Nalasopara West, Mumbai",375 sq.ft,₹5.73 K/sq.ft,7 Year Old,Ready to move,Higherof 7 floors,Semi Furnished,,Yashwant Garden,"50,000(Negotiable)Access Zero Brokerage Properties",270 sq.ft,1,1,1,1 Open Parking,"Best 1 RK Flat for modern-day lifestyle is now available for sale. Grab this 1 RK property for sale in one of Mumbai's top location, Nalasopara West. It is situated on floor 5. The total number of floors in this Flat is 7. The property price of this Read More"
2 BHK Flat,85.0 L,"Shree Ganesh Imperial Tower, Lakshmiben Chedda Nagar, Nalasopara West, Mumbai",860 sq.ft,₹9.88 K/sq.ft,5 Year Old,Ready to move,Middleof 7 floors,Fully Furnished,,Shree Ganesh Imperial Tower,1.5 Lacs(Negotiable)Access Zero Brokerage Properties,690 sq.ft,2,1,3,1 Covered and 1 Open Parking,"heck out this residential project for sale 
by Imperial Lifestyle pvt. ltd in Nalasopara West, Mumbai. It is currently Ready to Move. Shree Ganesh Imperial Tower possession is Jan, 2013. There are 3 buildings in this property. The address of Shree GaRead More"
3 BHK Flat,8.0 Cr,"on call, Sion East, Sion, Mumbai",2200 sq.ft,₹36.36 K/sq.ft,20 Year Old,Ready to move,Higherof 11 floors,Semi Furnished,,8.0 LacsAccess Zero Brokerage Properties,8.0 Cr,3,2,1,More than a month ago,4 Open Parking,"Property for sale in Sion, Mumbai. This 3 BHK Flat is located in Mumbai's most promising location. It is on floor 11. The total number of floors in this building is 11. This Flat's price is Rs 8.0 Cr. Homebuyers will also need to pay Rs 10000 towardsRead More"
4 BHK Flat,6.5 Cr,"Oberoi Sky City Tower, Kulupwadi, Borivali East, Mumbai",1900 sq.ft,₹34.21 K/sq.ft,1 Years Old,Ready to move,Lowerof 61 floors,Unfurnished,,6.5 LacsAccess Zero Brokerage Properties,6.5 Cr,4,4,No Balcony,5 days ago,2 Covered Parking,"This lovely 4 bhk apartment for Sell in borivali east is available in one of western mumbai's most popular projects, sky city by oberoi realty. This flat consists of 4 bathrooms build in 1329 sq.Ft. Carpet area. This property is constructed on 1900 Read More"
1 BHK Flat,1.3 Cr,"Orchid CHS, Eksar, Borivali West, Mumbai",699 sq.ft,₹18.60 K/sq.ft,5 Year Old,Ready to move,Middleof 7 floors,Fully Furnished,,Orchid CHS,1.5 Lacs(Negotiable)Access Zero Brokerage Properties,475 sq.ft,1,2,No Balcony,1 Open Parking,"Situated at a prime location of Borivali West, Orchid CHS Ltd is a meticulously designed project of Mumbai. This skillfully crafted project has Ready To Move units. The well-known builder Cooperative Group Housing Society has developed Orchid CHS LtdRead More"
3 BHK Flat,4.6 Cr,"Lodha Estrella, Sion East, Sion, Mumbai",1560 sq.ft,₹29.49 K/sq.ft,5 Year Old,Ready to move,Middleof 42 floors,Semi Furnished,,Lodha Estrella,4.6 LacsAccess Zero Brokerage Properties,1300 sq.ft,3,2,1,1 Covered and 1 Open Parking,"Luxury 2.5 bhk apartment with garden in lodha new cuffe parade - Estrella, featuring a carpet area of 1300 sq ft, offers an asking price of 4.6 crores. It is located on the 15th floor of the 42-Story tower and comes with 2 car parks. Each floor accomRead More"
2 BHK Flat,2.25 Cr,"Park Road, Vile Parle East, Mumbai",661 sq.ft,₹34.04 K/sq.ft,25 Year Old,Ready to move,Middleof 6 floors,,,2.3 LacsAccess Zero Brokerage Properties,2.25 Cr,2,2,No Balcony,More than a month ago,1 Open Parking,"A 2 BHK Flat for sale in Vile Parle East, Mumbai. This beautifully designed 2 BHK unit with all the modern-day comforts is one of Vile Parle East's most desired properties. Contact now for more information. This 2 BHK unit is on floor 4. There are 6 Read More"
3 BHK Flat,2.75 Cr,"Dimples Galassia , Kandarpada, Dahisar West, Mumbai",1000 sq.ft,₹27.50 K/sq.ft,12 Year Old,Ready to move,Higherof 22 floors,Fully Furnished,,Dimples Galassia,3.0 LacsAccess Zero Brokerage Properties,853 sq.ft,3,2,4,1 Covered Parking,"3 BHK Flat for sale in Dahisar West, Mumbai - contact now, for details about the most coveted property. This 3 BHK unit is available in Dahisar West and offers a premium lifestyle at the best price. It is a desired purchase for any homebuyer in DahisRead More"
3 BHK Flat,3.35 Cr,"Supreme Lake Pleasant, Sainath Nagar, Powai, Mumbai",1500 sq.ft,₹22.33 K/sq.ft,10 Year Old,Ready to move,Middleof 20 floors,Unfurnished,,Supreme Lake Pleasant,No ChargeAccess Zero Brokerage Properties,1000 sq.ft,3,2,1,1 Covered Parking,"A 3 BHK Flat for sale in Powai, Mumbai. This beautifully designed 3 BHK unit with all the modern-day comforts is one of Powai's most desired properties. Contact now for more information. This 3 BHK unit is on floor 7. There are 20 floors in this propRead More"
3 BHK Flat,5.25 Cr,"Sunshine Infinity, Matunga East, Mumbai",2250 sq.ft,₹23.33 K/sq.ft,5 Year Old,Ready to move,Middleof 32 floors,Unfurnished,,Sunshine Infinity,6.0 LacsAccess Zero Brokerage Properties,1620 sq.ft,3,3,No Balcony,1 Covered Parking,"Located in the popular residential address of Wadala, Mumbai harbour, Sunshine Infinity is one of the most preferred destination for apartments in Mumbai Harbour. This 3 BHK flat is your ticket to be a part of this community. The floor plan additionaRead More"
3 BHK Flat,12.5 Cr,"Lamour, Bandra West, Mumbai",2990 sq.ft,₹41.81 K/sq.ft,8 Year Old,Ready to move,Higherof 13 floors,,,12.5 LacsAccess Zero Brokerage Properties,12.5 Cr,3,3,3,9 days ago,2 Covered Parking,"3 BHK Flat for sale in Bandra West, Mumbai - contact now, for details about the most coveted property. This 3 BHK unit is available in Bandra West and offers a premium lifestyle at the best price. It is a desired purchase for any homebuyer in Bandra Read More"
6 BHK Flat,12.0 Cr,"Lodha Grandeur, Babasaheb Ambedkar Nagar, Dadar West, Mumbai",3000 sq.ft,₹40 K/sq.ft,12 Year Old,Ready to move,Middleof 20 floors,Fully Furnished,,Lodha Grandeur,12.0 Lacs(Negotiable)Access Zero Brokerage Properties,2070 sq.ft,6,6,5,2 Covered Parking,"Prabhadevi, Mumbai is the location for many corporate offices in Mumbai. Located in a short distance from Siddhivinayak temple this property by Lodha Group is the reflection of its name i.e. Grandeur. Lodha Grandeur located in Prabhadevi, Mumbai has Read More"
2 BHK Flat,2.7 Cr,"Supreme Elenor, Deonar Village, Govandi, Mumbai",1200 sq.ft,₹22.50 K/sq.ft,1 Years Old,Ready to move,Higherof 16 floors,Semi Furnished,,Supreme Elenor,2.7 LacsAccess Zero Brokerage Properties,757 sq.ft,2,2,1,1 Covered Parking,"Supreme Elenor is a luxury project located in Mumbai Harbour, Mumbai. The project offers 72 Units spread over an area of 0.04 acres. The project offers luxurious and spacious apartments that come with a well-ventilated and well-lit homes. The apartmeRead More"
2 BHK Flat,2.8 Cr,"Hiranandani Castle Rock, Sainath Nagar, Powai, Mumbai",800 sq.ft,₹35 K/sq.ft,5 Year Old,Ready to move,Higherof 22 floors,Semi Furnished,,Hiranandani Castle Rock,2.8 LacsAccess Zero Brokerage Properties,628 sq.ft,2,2,No Balcony,1 Covered Parking,"There are Beautiful Semi furnished 2 BHK Apartments for sale in Central Mumbai Suburbs Buy this 2 BHK flat in Hiranandani Castlerock that is situated in Hiranandani gardens powai, Central mumbai suburbs. This property is available for immediate posseRead More"
1 BHK Flat,1.65 Cr,"MS H20, Kalina, Santacruz East, Mumbai",600 sq.ft,₹27.50 K/sq.ft,3 Year Old,Ready to move,Higherof 13 floors,Unfurnished,,1.6 LacsAccess Zero Brokerage Properties,1.65 Cr,1,2,No Balcony,21 days ago,1 Covered Parking,"Best 1 BHK Flat for modern-day lifestyle is now available for sale. Grab this 1 BHK property for sale in one of Mumbai's top location, Santacruz East. It is situated on floor 9. The total number of floors in this Flat is 13. The property price of thiRead More"
